undiff	Monocyte	Neutrophil	Baso	Erythroid	Meg	Mast	Lymphoid	Eos	Neu_Mon	Ccr7_DC	pDC
4715	2	3	10	0	0	0	0	0	0	0	0	0
2777	7	1	0	0	0	0	0	0	0	0	0	0
1648	3	0	3	3	0	0	0	0	0	0	0	0
2962	0	0	6	0	0	0	0	0	0	0	0	0
2410	3	0	1	0	0	0	0	0	0	0	0	0
2806	1	9	1	0	0	0	0	0	0	0	0	0
3284	6	0	0	0	3	0	6	0	0	0	0	0
3172	5	0	0	0	0	0	0	0	0	0	0	0
3362	0	1	3	0	0	0	0	0	0	0	0	0
5233	4	17	11	0	0	0	0	0	0	1	0	0
5424	1	0	0	2	0	0	5	0	0	0	0	0
132	4	6	0	0	0	0	0	0	0	0	0	0
3208	0	0	0	0	0	0	2	0	0	0	0	0
308	10	12	0	0	0	0	0	0	0	0	0	0
1466	9	2	4	0	0	0	0	0	0	0	0	0
2563	2	0	5	0	0	0	0	0	0	0	0	0
3334	4	0	8	0	0	0	0	0	0	0	0	0
5832	0	1	5	0	0	1	0	0	0	0	0	0
3762	1	0	15	0	0	0	0	0	0	0	0	0
789	0	0	7	0	0	0	0	0	0	0	0	0
2978	5	0	19	0	0	0	0	0	0	0	0	0
4585	6	0	0	2	0	0	3	0	0	0	0	0
4180	0	15	0	0	0	0	0	0	0	0	0	0
891	1	4	0	0	0	0	0	0	0	0	0	0
3920	2	0	0	0	0	1	0	0	0	0	0	0
547	0	0	0	6	0	0	0	0	0	0	0	0
4541	3	13	0	0	0	0	0	0	0	0	0	0
2408	7	0	0	14	0	0	1	0	0	0	0	0
4107	1	0	0	0	0	0	7	0	0	0	0	0
1559	3	12	0	0	0	0	0	0	0	0	1	0
901	0	0	3	0	0	0	0	0	0	0	0	0
1794	0	10	0	0	0	0	0	0	0	0	0	0
4408	4	0	0	0	0	5	0	0	0	0	0	0
5638	1	2	4	0	0	0	0	0	0	0	0	0
842	1	3	0	0	0	0	0	0	0	0	0	0
2832	4	0	1	1	0	0	0	0	0	0	0	0
5672	8	0	6	0	0	0	0	0	0	0	0	0
3559	0	0	0	13	0	0	0	0	0	0	0	0
629	0	1	0	0	0	0	0	0	0	1	0	0
2689	9	7	24	1	0	0	0	0	0	0	0	0
4866	1	0	0	7	0	0	0	0	0	0	0	0
3149	1	1	0	0	0	0	0	0	0	0	0	0
5338	1	0	1	3	0	0	0	0	1	0	0	0
4412	4	5	6	0	0	0	0	0	0	0	0	0
3087	4	0	5	0	0	0	0	0	0	0	0	0
2686	2	0	2	0	0	0	0	0	0	0	0	0
1891	3	0	0	0	0	0	1	0	0	0	0	0
3271	3	0	0	1	0	0	0	0	0	0	0	0
5083	4	3	4	0	0	0	0	0	0	0	0	0
3492	14	0	10	0	0	0	0	0	0	0	0	0
2649	0	0	0	1	0	0	0	0	0	1	0	0
3418	0	5	0	0	0	0	0	0	0	0	0	0
1599	4	8	0	0	0	0	0	0	0	0	0	0
152	1	3	3	0	0	0	0	0	0	0	0	0
4441	1	2	0	0	0	0	0	0	0	0	0	0
343	2	15	0	0	0	0	0	0	0	0	0	0
3425	4	5	7	0	0	0	0	0	0	0	0	0
651	0	0	0	0	0	5	0	0	0	0	0	0
2577	3	17	2	0	0	0	0	0	0	0	0	0
3429	7	6	9	0	0	0	0	0	0	0	0	0
3196	2	0	6	0	0	0	0	0	0	0	0	0
4670	1	11	4	0	0	0	0	0	0	0	0	0
4708	3	8	0	0	0	0	0	0	0	0	0	0
1495	3	0	0	0	0	0	0	0	0	0	0	0
2937	4	0	0	0	0	3	0	0	0	0	0	0
5309	2	1	18	0	0	0	0	0	0	0	0	0
2075	0	0	7	0	0	0	0	0	0	0	0	0
5004	1	0	0	0	0	0	3	0	0	0	0	0
1429	0	0	2	0	0	0	0	0	0	0	0	0
2903	4	0	0	0	3	0	1	0	0	0	0	0
1317	13	4	0	0	0	0	0	1	0	0	0	0
4048	16	0	0	0	1	3	0	0	0	0	0	0
2334	2	0	9	0	0	0	0	0	0	0	0	0
794	5	1	8	0	0	0	0	0	0	0	0	0
4893	5	0	0	0	0	0	0	0	0	0	0	0
1239	1	0	0	0	1	0	0	0	0	0	0	0
1829	4	1	0	0	0	0	0	0	0	0	0	0
5818	4	0	1	0	0	0	0	0	0	0	0	0
659	2	0	0	8	0	0	0	0	0	0	0	0
703	0	0	4	0	0	0	0	0	0	0	0	0
829	0	2	0	0	0	0	0	0	0	0	0	0
3734	4	4	0	0	0	0	0	0	0	0	0	0
1989	6	4	15	0	0	0	0	0	0	0	0	0
5709	11	0	5	5	0	1	0	0	3	0	0	0
3624	2	0	4	0	0	0	0	0	0	0	0	0
4959	0	0	0	0	0	0	2	0	0	0	0	0
2495	1	9	0	0	0	0	0	0	0	0	0	0
3469	2	2	4	1	0	0	0	0	0	0	0	0
1834	3	0	0	0	0	0	1	0	0	0	0	0
5145	3	0	0	0	0	1	1	0	0	0	0	0
3670	0	0	2	0	0	0	0	0	0	0	0	0
2196	14	7	6	0	0	0	0	0	0	0	0	0
872	0	0	0	4	0	0	0	0	0	0	0	0
5445	0	0	0	4	0	0	0	0	0	0	0	0
3455	0	0	2	0	0	0	0	0	0	0	0	0
4144	4	0	7	0	0	0	0	0	0	0	0	0
321	1	0	0	0	0	0	2	0	0	0	0	0
5251	6	0	0	0	0	0	0	0	0	0	0	0
2630	0	0	0	3	0	0	0	0	0	0	0	0
153	0	0	0	0	0	1	5	0	0	0	0	0
5711	3	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	2	0	0	0	0	1	0	0	0
66	2	0	0	0	0	2	0	0	0	0	0	0
2435	12	0	0	0	0	0	0	0	0	0	0	0
1984	6	1	6	0	0	0	0	0	0	0	0	0
1910	3	0	0	5	0	0	0	0	1	0	0	0
220	6	0	0	0	0	0	0	0	0	0	0	0
1872	0	0	0	2	0	0	0	0	0	0	0	0
2492	5	0	10	0	0	0	1	0	0	0	0	0
3758	0	0	0	0	0	0	2	0	0	0	0	0
3665	0	0	0	4	0	0	0	0	0	0	0	0
632	0	0	0	2	0	0	0	0	0	0	0	0
4492	0	0	0	0	0	0	3	0	0	0	0	0
1352	1	0	0	0	0	1	0	0	0	0	0	0
826	2	9	0	0	0	0	0	0	0	0	0	0
5227	0	6	0	0	0	0	0	0	0	0	0	0
1105	4	0	0	14	0	0	0	0	0	0	0	0
3483	1	0	2	0	0	0	0	0	1	0	0	0
3694	0	3	0	0	0	0	0	0	0	0	0	0
31	1	0	0	1	0	0	0	0	0	0	0	0
475	4	0	7	0	0	0	0	0	0	0	0	0
3168	2	0	0	6	0	0	0	0	0	0	0	0
2766	2	5	0	0	0	0	0	0	0	0	0	0
1226	2	0	0	0	0	0	0	0	0	0	0	0
377	1	0	0	0	0	0	0	0	0	0	0	0
4096	0	1	0	2	0	0	0	0	0	0	0	0
1929	1	0	0	11	0	0	0	0	0	0	0	0
3132	1	0	3	1	0	0	0	0	0	0	0	0
1104	1	1	0	0	0	0	0	0	0	0	0	0
5543	4	12	0	0	0	0	0	0	0	0	0	0
1664	0	0	0	0	0	0	3	0	0	0	0	0
5159	1	0	0	0	0	0	7	0	0	0	0	0
4591	6	0	0	0	0	0	0	0	0	0	0	0
3384	9	0	19	0	0	0	0	0	0	0	0	0
2693	4	2	15	0	0	0	0	0	0	0	0	0
3959	3	17	0	0	0	0	0	0	0	0	0	0
1206	3	1	1	0	0	0	0	0	0	0	0	0
3287	0	0	4	0	0	0	0	0	0	0	0	0
2706	0	2	0	0	0	0	0	0	0	0	0	0
5603	0	0	5	0	0	0	0	0	0	0	0	0
5243	0	6	0	0	0	0	0	0	0	0	0	0
5669	7	5	14	0	0	0	0	0	0	0	0	0
1472	0	0	0	0	0	0	3	0	0	0	0	0
4797	2	0	0	0	0	0	0	0	0	0	0	0
2908	2	0	0	0	0	0	1	0	0	0	0	0
5264	0	0	0	0	0	0	6	0	0	0	0	0
4488	1	0	5	0	0	0	0	0	0	0	0	0
2682	1	0	0	3	0	0	0	0	0	0	0	0
4464	0	0	0	0	0	0	3	0	0	0	0	0
825	3	0	0	5	0	0	0	0	0	0	0	0
5721	8	10	0	0	0	0	0	0	0	0	1	0
3553	3	0	0	0	0	0	0	0	0	0	0	0
5728	1	0	0	4	0	0	0	0	0	0	0	0
3290	0	0	2	0	0	0	0	0	0	0	0	0
3412	1	7	0	0	0	0	0	0	0	0	1	0
1274	6	0	0	0	2	2	0	0	0	0	0	0
2733	1	0	0	0	0	0	6	0	0	0	0	0
1141	1	0	1	4	0	0	0	0	0	0	0	0
5658	1	0	0	0	0	5	0	0	0	0	0	0
2343	5	0	1	0	0	0	0	0	2	0	0	0
949	0	0	6	0	0	0	0	0	0	0	0	0
2783	1	0	3	0	0	0	0	0	0	0	0	0
5169	3	0	0	0	0	2	0	0	0	0	0	0
4590	0	7	0	0	0	0	0	0	0	0	0	0
126	1	2	0	0	0	0	0	0	0	0	0	0
4808	0	0	0	5	0	0	0	0	0	0	0	0
2931	4	0	0	0	0	0	0	0	0	0	0	0
124	4	0	3	0	0	0	0	0	0	0	0	0
4193	0	0	2	0	0	0	0	0	0	0	0	0
4535	2	1	3	0	0	0	0	0	0	0	0	0
4778	2	0	0	5	0	0	0	0	0	0	0	0
2565	4	0	0	0	0	2	4	0	0	0	0	0
2399	0	0	1	6	0	0	0	0	0	0	0	0
4342	2	0	0	0	0	0	0	0	0	0	0	0
3571	7	0	4	0	0	0	4	0	0	0	0	0
5522	2	1	0	0	0	0	0	0	0	0	0	0
588	0	0	3	0	0	0	0	0	0	0	0	0
5469	3	0	0	0	0	0	0	0	0	0	0	0
4891	6	0	0	2	0	0	0	0	0	0	0	0
5633	2	0	3	0	0	0	0	0	0	0	0	0
2725	0	0	0	1	0	2	0	0	0	0	0	0
336	2	26	0	0	0	0	0	0	0	0	0	0
4867	2	9	0	0	0	0	0	0	0	0	0	0
2202	2	0	0	0	0	0	0	0	0	0	0	0
3654	1	0	0	2	0	0	15	0	0	0	0	0
368	0	0	6	0	0	0	0	0	0	0	0	0
1736	2	2	3	0	0	0	0	0	0	1	0	0
2229	0	0	0	0	0	0	2	0	0	0	0	0
1838	4	0	1	0	0	0	0	0	0	0	0	0
2145	4	0	0	0	2	8	0	0	0	0	0	0
148	0	0	4	0	0	0	0	0	0	0	0	0
1906	8	0	7	0	0	0	0	0	0	0	0	0
1956	1	0	0	6	0	0	0	0	0	0	0	0
1497	0	0	0	2	0	0	0	0	0	0	0	0
3645	2	2	2	0	0	0	0	0	0	0	0	0
4230	1	0	0	0	0	1	0	0	0	0	0	0
4433	3	0	4	0	0	0	0	0	0	0	0	0
1248	4	0	0	0	0	1	1	0	0	0	0	0
1666	0	2	2	0	0	0	0	0	0	0	0	0
5372	6	0	0	0	0	0	0	1	0	0	0	0
1387	0	0	0	2	0	0	0	0	0	0	0	0
5096	2	2	5	0	0	0	0	0	0	0	0	0
1203	0	0	3	0	0	0	0	0	0	0	0	0
3303	1	3	0	0	0	0	0	0	0	0	0	0
483	0	0	4	0	0	0	0	0	0	0	0	0
4898	1	0	3	0	0	0	0	0	0	0	0	0
1740	0	0	0	1	0	0	0	0	5	0	0	0
5210	0	0	0	0	0	0	3	0	0	0	0	0
4052	2	0	0	3	0	0	0	0	0	0	0	0
3009	7	0	0	1	0	1	0	0	0	0	0	0
5461	3	1	0	9	0	0	0	0	0	0	0	0
5606	4	1	10	0	0	0	0	0	0	0	0	0
1065	5	13	2	0	0	0	0	0	0	0	0	0
2430	13	0	1	0	0	0	0	0	0	0	0	0
5436	2	0	4	0	0	0	0	0	0	0	0	0
5097	5	5	5	0	0	0	0	0	0	0	0	0
737	4	3	8	0	0	0	0	0	0	0	0	0
4709	2	10	0	0	0	0	0	0	0	1	0	0
4583	0	4	4	0	0	0	0	0	0	0	0	0
1076	10	7	0	0	0	0	0	1	0	0	0	0
1228	0	0	2	0	0	0	0	0	0	0	0	0
1960	15	2	9	0	0	0	0	0	0	0	0	0
2598	22	6	21	0	0	0	0	0	0	0	0	0
1587	12	12	0	0	1	0	0	0	0	0	0	0
4374	11	0	2	0	0	0	0	0	0	0	0	0
2470	3	3	1	0	0	0	0	0	0	0	0	0
2042	7	18	4	0	0	0	0	0	0	0	0	0
4444	6	3	5	0	0	0	0	0	0	0	0	0
2115	10	9	15	0	0	0	0	0	0	0	0	0
1863	3	0	2	0	0	0	0	0	0	0	0	0
5585	0	0	8	0	0	0	0	0	0	0	0	0
1920	3	0	6	0	0	0	0	0	0	0	0	0
1605	9	0	6	0	0	0	0	0	0	0	0	0
2333	14	6	6	0	0	0	0	0	0	0	0	0
2749	27	2	0	1	0	1	0	0	0	0	0	0
4889	4	0	0	0	0	0	0	0	0	0	0	0
5642	1	3	3	0	0	0	0	0	0	0	0	0
